,Model,Price,Engine Specifications,Launch Date,Reviews,Rating,Check out link
0,KTM 390 Adventure X,"2,80,000 Onwards","373.27 cc, 33 kmpl, 42.9 bhp, 177 kg",14thAPR,(0 ratings),Not rated yet,https://www.bikewale.com/ktm-bikes/390-adventure-x/
1,Harley-Davidson Heritage Classic,"26,59,000 Onwards","1868 cc, 18 kmpl, 94 bhp, 330 kg",12thAPR,(0 ratings),Not rated yet,https://www.bikewale.com/ktm-bikes/390-adventure-x/
2,Harley-Davidson Fat Boy,"24,49,000 Onwards","1868 cc, 18 kmpl, 92.5 bhp, 317 kg",11thAPR,(0 ratings),Not rated yet,https://www.bikewale.com/harleydavidson-bikes/heritage-classic/
3,Harley-Davidson Fat Bob,"20,49,000 Onwards","1868 cc, 18 kmpl, 92.5 bhp, 306 kg",10thAPR,(0 ratings),Not rated yet,https://www.bikewale.com/harleydavidson-bikes/heritage-classic/
4,Suzuki Hayabusa,"16,90,000 Onwards","1340 cc, 18 kmpl, 190 bhp, 266 kg",7thAPR,(1 rating),4,https://www.bikewale.com/harleydavidson-bikes/fat-boy/
5,Harley-Davidson Road Glide Special,"40,49,000 Onwards","1868 cc, 16 kmpl, 92.5 bhp, 387 kg",6thAPR,(0 ratings),Not rated yet,https://www.bikewale.com/harleydavidson-bikes/fat-boy/
6,Harley-Davidson Street Glide Special,"37,49,000 Onwards","1868 cc, 16 kmpl, 92.5 bhp, 375 kg",6thAPR,(0 ratings),Not rated yet,https://www.bikewale.com/harleydavidson-bikes/fat-bob/
7,Harley-Davidson PAN America 1250,"24,49,000 Onwards","1252 cc, 18 kmpl, 150.19 bhp, 258 kg",6thAPR,(0 ratings),Not rated yet,https://www.bikewale.com/harleydavidson-bikes/fat-bob/
8,Harley-Davidson Sportster S,"18,79,000 Onwards","1252 cc, 20 kmpl, 120.69 bhp, 225 kg",5thAPR,(0 ratings),Not rated yet,https://www.bikewale.com/suzuki-bikes/hayabusa/
9,Harley-Davidson Nightster,"17,49,000 Onwards","975 cc, 18 kmpl, 88.5 bhp, 221 kg",4thAPR,(0 ratings),Not rated yet,https://www.bikewale.com/suzuki-bikes/hayabusa/
10,Kawasaki Vulcan S,"7,10,000 Onwards","649 cc, 59.94 bhp, 235 kg",4thAPR,(2 ratings),4.5,https://www.bikewale.com/harleydavidson-bikes/road-glide-special/
11,Kawasaki Ninja H2R,"79,90,000 Onwards","998 cc, 305.75 bhp, 216 kg",4thJUN,(130 ratings),4.8,https://www.bikewale.com/harleydavidson-bikes/road-glide-special/
12,BMW M 1000 RR,"42,00,000 Onwards","999 cc, 15 kmpl, 209.19 bhp, 192 kg",25thMAR,(15 ratings),4.6,https://www.bikewale.com/harleydavidson-bikes/street-glide-special/
13,Honda Goldwing,"39,88,635 Onwards","1833 cc, 124.7 bhp, 390 kg",21stAPR,(11 ratings),4.8,https://www.bikewale.com/harleydavidson-bikes/street-glide-special/
14,BMW K 1600,"29,98,414 Onwards","1649 cc, 17 kmpl, 158 bhp, 367 kg",17thAUG,(2 ratings),5,https://www.bikewale.com/harleydavidson-bikes/pan-america-1250/
15,Ducati Panigale V4,"27,41,000 Onwards","1103 cc, 13 kmpl, 212.5 bhp, 198 kg",29thAUG,(10 ratings),4.6,https://www.bikewale.com/harleydavidson-bikes/pan-america-1250/
